sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_2D_4126_021w,DO-2D-4126,2D,76,21,21,5,5887,G26W2,<=5 months,5 months
DO_AL_0011_069w,DO-AL-0011,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0011_044w,DO-AL-0011,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0011_121w,DO-AL-0011,AL,6,121,121,28,3298,G22W1,25-30 months,22/28 months
DO_AL_0011_038w,DO-AL-0011,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0011_097w,DO-AL-0011,AL,6,97,96,22,3298,G22W1,19-24 months,22/28 months
DO_AL_0001_038w,DO-AL-0001,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0001_044w,DO-AL-0001,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0001_121w,DO-AL-0001,AL,6,121,121,28,3297,G22W1,25-30 months,22/28 months
DO_AL_0001_097w,DO-AL-0001,AL,6,97,96,22,3297,G22W1,19-24 months,22/28 months
DO_AL_0001_069w,DO-AL-0001,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_40_2050_200w,DO-40-2050,40,46,200,200,46,4338,G23W2,>=31 months,34+months
DO_40_2050_173w,DO-40-2050,40,46,173,174,40,4338,G23W2,>=31 months,34+months
DO_40_2050_148w,DO-40-2050,40,45,148,148,34,4338,G23W2,>=31 months,34+months
DO_40_2050_121w,DO-40-2050,40,44,121,121,28,4338,G23W2,25-30 months,22/28 months
DO_40_2050_020w,DO-40-2050,40,33,20,21,5,4338,G23W2,<=5 months,5 months
DO_2D_4031_035w,DO-2D-4031,2D,10,35,35,8,3398,G22W2,6-12 months,8/10/16 months
DO_2D_4031_043w,DO-2D-4031,2D,12,43,44,10,3398,G22W2,6-12 months,8/10/16 months
DO_2D_4031_069w,DO-2D-4031,2D,13,69,69,16,3398,G22W2,13-18 months,8/10/16 months
DO_AL_0178_021w,DO-AL-0178,AL,118,21,21,5,6531,G28W2,<=5 months,5 months
DO_2D_4067_021w,DO-2D-4067,2D,48,21,21,5,4978,G24W1,<=5 months,5 months
DO_AL_0015_069w,DO-AL-0015,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0015_044w,DO-AL-0015,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0015_038w,DO-AL-0015,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_2D_4146_096w,DO-2D-4146,2D,103,96,96,22,6299,G27W2,19-24 months,22/28 months
DO_2D_4146_069w,DO-2D-4146,2D,101,69,69,16,6299,G27W2,13-18 months,8/10/16 months
DO_40_2161_021w,DO-40-2161,40,108,21,21,5,6473,G28W1,<=5 months,5 months
DO_AL_0167_097w,DO-AL-0167,AL,115,97,96,22,6469,G28W1,19-24 months,22/28 months
DO_AL_0167_021w,DO-AL-0167,AL,107,21,21,5,6469,G28W1,<=5 months,5 months
DO_AL_0137_044w,DO-AL-0137,AL,85,44,44,10,6183,G27W1,6-12 months,8/10/16 months
DO_AL_0137_069w,DO-AL-0137,AL,89,69,69,16,6183,G27W1,13-18 months,8/10/16 months
DO_AL_0137_021w,DO-AL-0137,AL,83,21,21,5,6183,G27W1,<=5 months,5 months
DO_AL_0007_121w,DO-AL-0007,AL,6,121,121,28,3297,G22W1,25-30 months,22/28 months
DO_AL_0007_097w,DO-AL-0007,AL,6,97,96,22,3297,G22W1,19-24 months,22/28 months
DO_AL_0007_038w,DO-AL-0007,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0007_069w,DO-AL-0007,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_AL_0007_044w,DO-AL-0007,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_1D_3119_120w,DO-1D-3119,1D,80,120,121,28,5884,G26W2,25-30 months,22/28 months
DO_1D_3119_096w,DO-1D-3119,1D,79,96,96,22,5884,G26W2,19-24 months,22/28 months
DO_1D_3119_044w,DO-1D-3119,1D,77,44,44,10,5884,G26W2,6-12 months,8/10/16 months
DO_40_2150_096w,DO-40-2150,40,102,96,96,22,6305,G27W2,19-24 months,22/28 months
DO_40_2150_069w,DO-40-2150,40,101,69,69,16,6305,G27W2,13-18 months,8/10/16 months
DO_40_2150_148w,DO-40-2150,40,106,148,148,34,6305,G27W2,>=31 months,34+months
DO_2D_4074_044w,DO-2D-4074,2D,50,44,44,10,4979,G24W1,6-12 months,8/10/16 months
DO_2D_4074_095w,DO-2D-4074,2D,54,95,96,22,4979,G24W1,19-24 months,22/28 months
DO_AL_0008_038w,DO-AL-0008,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0008_044w,DO-AL-0008,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0008_069w,DO-AL-0008,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_40_2063_121w,DO-40-2063,40,45,121,121,28,4339,G23W2,25-30 months,22/28 months
DO_40_2063_096w,DO-40-2063,40,42,96,96,22,4339,G23W2,19-24 months,22/28 months
DO_40_2063_069w,DO-40-2063,40,39,69,69,16,4339,G23W2,13-18 months,8/10/16 months
DO_40_2054_069w,DO-40-2054,40,39,69,69,16,4338,G23W2,13-18 months,8/10/16 months
DO_2D_4072_044w,DO-2D-4072,2D,50,44,44,10,4978,G24W1,6-12 months,8/10/16 months
DO_2D_4072_120w,DO-2D-4072,2D,56,120,121,28,4978,G24W1,25-30 months,22/28 months
DO_2D_4072_068w,DO-2D-4072,2D,52,68,69,16,4978,G24W1,13-18 months,8/10/16 months
DO_2D_4072_148w,DO-2D-4072,2D,56,148,148,34,4978,G24W1,>=31 months,34+months
DO_2D_4072_021w,DO-2D-4072,2D,48,21,21,5,4978,G24W1,<=5 months,5 months
DO_40_2116_021w,DO-40-2116,40,75,21,21,5,5882,G26W2,<=5 months,5 months
DO_40_2116_044w,DO-40-2116,40,77,44,44,10,5882,G26W2,6-12 months,8/10/16 months
DO_40_2116_175w,DO-40-2116,40,82,175,174,40,5882,G26W2,>=31 months,34+months
DO_40_2116_120w,DO-40-2116,40,80,120,121,28,5882,G26W2,25-30 months,22/28 months
DO_40_2117_096w,DO-40-2117,40,79,96,96,22,5882,G26W2,19-24 months,22/28 months
DO_40_2117_200w,DO-40-2117,40,82,200,200,46,5882,G26W2,>=31 months,34+months
DO_40_2117_148w,DO-40-2117,40,82,148,148,34,5882,G26W2,>=31 months,34+months
DO_40_2117_044w,DO-40-2117,40,77,44,44,10,5882,G26W2,6-12 months,8/10/16 months
DO_40_2117_175w,DO-40-2117,40,82,175,174,40,5882,G26W2,>=31 months,34+months
DO_40_2117_120w,DO-40-2117,40,80,120,121,28,5882,G26W2,25-30 months,22/28 months
DO_2D_4116_044w,DO-2D-4116,2D,77,44,44,10,5886,G26W2,6-12 months,8/10/16 months
DO_2D_4009_038w,DO-2D-4009,2D,4,38,35,8,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4009_044w,DO-2D-4009,2D,2,44,44,10,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4009_069w,DO-2D-4009,2D,5,69,69,16,3313,G22W1,13-18 months,8/10/16 months
DO_2D_4009_097w,DO-2D-4009,2D,6,97,96,22,3313,G22W1,19-24 months,22/28 months
DO_2D_4009_121w,DO-2D-4009,2D,6,121,121,28,3313,G22W1,25-30 months,22/28 months
DO_40_2007_097w,DO-40-2007,40,6,97,96,22,3302,G22W1,19-24 months,22/28 months
DO_40_2007_121w,DO-40-2007,40,6,121,121,28,3302,G22W1,25-30 months,22/28 months
DO_40_2007_069w,DO-40-2007,40,5,69,69,16,3302,G22W1,13-18 months,8/10/16 months
DO_40_2007_044w,DO-40-2007,40,1,44,44,10,3302,G22W1,6-12 months,8/10/16 months
DO_40_2007_038w,DO-40-2007,40,3,38,35,8,3302,G22W1,6-12 months,8/10/16 months
DO_1D_3056_096w,DO-1D-3056,1D,43,96,96,22,4340,G23W2,19-24 months,22/28 months
DO_1D_3056_148w,DO-1D-3056,1D,45,148,148,34,4340,G23W2,>=31 months,34+months
DO_1D_3056_121w,DO-1D-3056,1D,45,121,121,28,4340,G23W2,25-30 months,22/28 months
DO_2D_4047_096w,DO-2D-4047,2D,29,96,96,22,4115,G23W1,19-24 months,22/28 months
DO_2D_4047_069w,DO-2D-4047,2D,26,69,69,16,4115,G23W1,13-18 months,8/10/16 months
DO_20_1127_175w,DO-20-1127,20,82,175,174,40,5881,G26W2,>=31 months,34+months
DO_20_1127_021w,DO-20-1127,20,75,21,21,5,5881,G26W2,<=5 months,5 months
DO_20_1127_069w,DO-20-1127,20,78,69,69,16,5881,G26W2,13-18 months,8/10/16 months
DO_20_1127_120w,DO-20-1127,20,80,120,121,28,5881,G26W2,25-30 months,22/28 months
DO_20_1127_148w,DO-20-1127,20,82,148,148,34,5881,G26W2,>=31 months,34+months
DO_20_1127_044w,DO-20-1127,20,77,44,44,10,5881,G26W2,6-12 months,8/10/16 months
