MRGV_vOTUs	ICTV_taxonomy	Representative	Genome_size	Checkv_quality	muivig_quality	Completeness	contamination	Completeness_method	Kmer_freq	MRGV_vFAMs	MRGV_vGENs	UHGV_matched	IsProphage	Host_taxonomy
MRGV_vOTU00001	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000001	45256.0	Medium-quality	Genome-fragment	78.14	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2602	MRGV_vGEN07197	vSUBFAM-00927	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Pseudobutyricicoccus;s__Pseudobutyricicoccus sp910579575
MRGV_vOTU00002	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lagaffevirus	MRGV_GENOME000002	65687.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM0856	MRGV_vGEN07226	vSUBFAM-00411	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00003	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000003	23542.0	Medium-quality	Genome-fragment	51.52	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0091	MRGV_vGEN04022	vSUBFAM-00114	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp910585525
MRGV_vOTU00004	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000004	36158.0	Medium-quality	Genome-fragment	58.59	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0615	MRGV_vGEN04119	vSUBFAM-00014	False	Unclassified
MRGV_vOTU00005	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lagaffevirus	MRGV_GENOME000005	50667.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.06	MRGV_vFAM0856	MRGV_vGEN07226	vSUBFAM-00411	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00006	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000006	57064.0	Medium-quality	Genome-fragment	84.45	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2053	MRGV_vGEN04847	vSUBFAM-00014	False	Unclassified
MRGV_vOTU00007	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000007	39731.0	Medium-quality	Genome-fragment	72.19	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1909	MRGV_vGEN04401	vSUBFAM-02469	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00008	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000008	26864.0	Medium-quality	Genome-fragment	57.06	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1261	MRGV_vGEN10644	vSUBFAM-01505	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00009	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000009	34165.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1734	MRGV_vGEN07599	vGENUS-00935	False	d__Bacteria;p__Bacillota_A;c__Clostridia
MRGV_vOTU00010	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000010	39720.0	Medium-quality	Genome-fragment	84.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2143	MRGV_vGEN09417	vSUBFAM-01597	False	d__Bacteria
MRGV_vOTU00011	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000011	28427.0	Medium-quality	Genome-fragment	61.73	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1149	MRGV_vGEN03602	vFAM-00001	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum faecis
MRGV_vOTU00012	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Alisviridae	MRGV_GENOME000012	50501.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0910	MRGV_vGEN01241	vFAM-00082	False	d__Bacteria
